name,Average test episode reward,Average test episode length,Average test step time,n_envs,learning_rate,steps_per_update_pow2,minibatch_size_pow2,gae_lambda,clip_range,gamma,entropy_coef,vf_coef,max_grad_norm,use_sde,sde_freq,layer_1_pow2,layer_2_pow2,promising
9/19/2023 22:52,-1640.974077,500,0.018995704,1,0.000710528,6,9,0.935422339,0.4,0.949624978,0.001324597,0.587588023,0.5,FALSE,5,8,8,
9/16/2023 8:20,-1680.741904,500,0.012650726,1,0.005449843,11,11,0.924509739,0.297974625,0.928109192,0.007694626,0.540201644,4.12393449,FALSE,2,7,8,
9/18/2023 19:55,-1680.99511,486.6,0.05016491,1,0.003942187,7,9,0.977771062,0.1,0.944937475,0.005202691,0.614711585,4.130474262,TRUE,2,8,8,
9/17/2023 17:28,-1711.576814,500,0.018310301,1,0.001204028,9,12,0.930270705,0.196036038,0.964406777,0.009292047,0.287303455,2.477561036,FALSE,3,7,7,
9/16/2023 5:45,-1747.301387,500,0.028417436,1,0.000433968,11,12,0.914225462,0.168687657,0.952947063,0.005422893,0.864687828,2.656547073,TRUE,4,9,9,
9/16/2023 15:29,-1817.57076,500,0.014099517,1,0.000251836,9,11,0.985060267,0.28617972,0.968462002,0.006211902,0.919401622,2.308981773,FALSE,6,9,7,
9/17/2023 15:32,-1839.118664,500,0.046439319,1,0.002179391,10,11,0.942521048,0.247964354,0.986707035,0.003655674,0.878045022,2.858858647,TRUE,0,7,9,
9/18/2023 6:09,-1974.687586,469,0.037577538,1,0.000110491,6,11,0.921043863,0.329240604,0.938799636,0.006397802,0.710956462,3.945857755,TRUE,1,8,7,
9/15/2023 20:43,-2366.314559,500,0.048659215,1,0.009886139,6,12,0.937748895,0.25849663,0.905061664,0.004552923,0.749362421,1.494833604,TRUE,5,7,7,
9/16/2023 7:06,-2432.25629,500,0.006693926,1,0.000221573,7,10,0.945297036,0.184373826,0.988477991,0.002680537,0.550941415,0.740559707,TRUE,6,9,7,
